customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AVGMonthlySpend,Churn_Predicted,Churn_Probability
7590-VHVEG,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,No,14.925,Yes,0.6092060656276485
5575-GNVDE,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,No,53.98571428571429,No,0.048116530366191616
3668-QPYBK,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,Yes,36.05,No,0.3537019534251615
7795-CFOCW,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,No,40.016304347826086,No,0.03483435678956724
9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,Yes,50.55,Yes,0.6859121728834372
9305-CDSKC,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,Yes,91.16666666666669,Yes,0.7487936158440803
1452-KIOVK,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,No,84.75652173913043,No,0.4813174575642294
6713-OKOMC,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,No,27.44545454545454,No,0.27732165165840206
7892-POOKP,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,Yes,105.03620689655172,Yes,0.5384176129694017
6388-TABGU,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,No,55.364285714285714,No,0.011962747066503661
9763-GRSKD,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,No,41.96071428571429,No,0.2240822417464965
7469-LKBCI,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,No,19.223529411764705,No,0.019345402542493374
8091-TTVAX,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,No,96.28983050847458,No,0.24196628195032818
0280-XJGEX,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,Yes,100.726,No,0.4672824059159551
5129-JLPIS,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,No,103.3096153846154,No,0.36550449188618667
3655-SNQYZ,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,No,112.78785714285712,No,0.035084309884263996
8191-XWSZG,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,No,19.300943396226412,No,0.015905561946442538
9959-WOFKT,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,No,102.53125,No,0.054638170758086024
4190-MFLUW,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,Yes,48.03181818181818,No,0.15509031355435268
4183-MYFRB,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,No,84.67727272727274,No,0.4746959126133685
8779-QRDMV,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,Yes,19.825,Yes,0.7613688739667691
1680-VDCWW,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,No,15.557692307692308,No,0.05671852797966587
1066-JKSGK,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,Yes,10.075,No,0.22040118791618568
3638-WEABW,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,No,59.40847457627118,No,0.019159821542413767
6322-HRPFA,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,No,59.406000000000006,No,0.02877712351504463
6865-JZNKO,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,No,49.37419354838709,No,0.11750744568788002
6467-CHFZW,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,Yes,98.940625,No,0.45219356066312655
8665-UTDHZ,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,Yes,15.1,No,0.4625085483550466
5248-YGIJN,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,No,87.2527397260274,No,0.024193621242859186
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,Yes,60.727777777777774,No,0.35624767682939296
